City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Ucluelet,CA,48.9329,-125.5528,42.1,86,100,7.34,overcast clouds
283,Massape,BR,-3.5228,-40.3428,81.25,65,72,7.34,broken clouds
284,Klaksvik,FO,62.2266,-6.589,41.92,91,100,15.46,overcast clouds
285,Beloha,MG,-25.1667,45.05,72.25,79,56,7.72,broken clouds
286,Banda Aceh,ID,5.5577,95.3222,77.13,85,26,12.3,scattered clouds
287,Avera,US,33.194,-82.5271,55.27,48,0,6.51,clear sky
288,Toora-Khem,RU,52.4675,96.11,1.71,96,99,0.38,overcast clouds
289,Batavia,US,41.85,-88.3126,45.91,64,1,1.99,clear sky
290,Millinocket,US,45.6573,-68.7098,39.42,41,1,3.44,clear sky
291,Nueva Gerona,CU,21.8833,-82.8,78.31,75,2,7.58,clear sky
292,Port Alfred,ZA,-33.5906,26.891,71.02,96,100,14.23,overcast clouds
293,Tilichiki,RU,60.4667,166.1,-7.94,84,100,19.24,overcast clouds
294,Coquimbo,CL,-29.9533,-71.3436,65.93,59,0,11.5,clear sky
295,Bereznik,RU,62.8551,42.7072,16.05,95,79,6.82,light snow
296,Bitam,GA,2.076,11.5007,68.79,97,50,2.68,scattered clouds
297,Severo-Kurilsk,RU,50.6789,156.125,33.19,87,80,12.46,broken clouds
298,Georgetown,MY,5.4112,100.3354,78.89,83,20,2.3,few clouds
299,Salinopolis,BR,-0.6136,-47.3561,81.66,79,32,12.84,scattered clouds
300,Upernavik,GL,72.7868,-56.1549,6.24,92,100,10.6,overcast clouds
301,Cururupu,BR,-1.8283,-44.8683,78.8,85,50,5.01,scattered clouds
302,Fortuna,US,40.5982,-124.1573,52.66,78,90,5.99,overcast clouds
303,Swan Hill,AU,-35.3378,143.5544,89.49,18,2,11.72,clear sky
304,Saint George,US,37.1041,-113.5841,59.47,39,1,1.99,clear sky
305,Saint-Pierre,RE,-21.3393,55.4781,76.68,70,20,11.5,few clouds
306,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,20.71,broken clouds
307,Sabzevar,IR,36.2126,57.6819,39.36,69,2,3.53,clear sky
308,Ballina,AU,-28.8667,153.5667,75.38,77,90,12.66,overcast clouds
309,Mogadishu,SO,2.0371,45.3438,79.02,83,94,17.29,overcast clouds
310,Cairns,AU,-16.9167,145.7667,89.55,58,40,10.36,scattered clouds
311,Plettenberg Bay,ZA,-34.0527,23.3716,65.5,93,94,1.54,light rain
312,Ganzhou,CN,28.8184,115.4327,50.14,71,82,4.85,broken clouds
313,Lompoc,US,34.6391,-120.4579,63.12,66,1,12.66,clear sky
314,Baglung,NP,28.2719,83.5898,48.61,49,23,5.48,few clouds
315,Rawlins,US,41.7911,-107.2387,34.23,46,1,31.07,light snow
316,Lar,IN,26.2039,83.9717,56.7,53,0,2.82,clear sky
317,Port Keats,AU,-14.25,129.55,90.52,56,25,9.13,scattered clouds
318,Zhanaozen,KZ,43.3,52.8,22.68,69,0,10.54,clear sky
319,Richards Bay,ZA,-28.783,32.0377,75.63,70,100,8.81,overcast clouds
320,Chabahar,IR,25.2919,60.643,70.72,51,18,5.06,few clouds
321,Kasongo-Lunda,CD,-6.4667,16.8167,70.83,98,100,0.69,overcast clouds
322,Byron Bay,AU,-28.65,153.6167,76.87,73,90,11.74,overcast clouds
323,Iquitos,PE,-3.7481,-73.2472,87.84,70,0,2.3,clear sky
324,Hirara,JP,24.8,125.2833,68.27,77,75,16.11,broken clouds
325,Wakema,MM,16.6,95.1833,70.84,85,17,6.35,few clouds
326,Kerema,PG,-7.9631,145.7785,83.34,73,100,3.33,overcast clouds
327,Burgeo,CA,47.6167,-57.6152,36.09,71,100,32.97,overcast clouds
328,Barrow,US,71.2906,-156.7887,-12.98,77,1,13.8,clear sky
329,Abadiania,BR,-16.2042,-48.7069,70.72,97,100,4.32,light rain
330,Healdsburg,US,38.6105,-122.8692,54.37,86,90,1.01,mist
331,Qostanay,KZ,53.1667,63.5833,7.57,87,22,6.64,few clouds
332,North Platte,US,41.1239,-100.7654,53.49,29,1,3.0,clear sky
333,Quevedo,EC,-1.0333,-79.45,73.36,92,100,3.94,light rain
334,Te Anau,NZ,-45.4167,167.7167,63.48,58,60,3.02,broken clouds
335,Tchamba,TG,9.0333,1.4167,78.03,24,23,5.1,few clouds
336,Morristown,US,36.214,-83.2949,42.13,61,1,0.0,clear sky
337,Fonte Boa,BR,-2.4959,-66.2662,75.99,95,61,2.06,broken clouds
338,Beyneu,KZ,45.3167,55.2,21.67,67,7,9.46,clear sky
339,Cornwall,CA,45.0181,-74.7281,41.41,56,1,20.71,clear sky
340,Oranjemund,NA,-28.55,16.4333,61.27,94,55,2.42,broken clouds
341,Trairi,BR,-3.2778,-39.2689,80.8,77,67,11.7,broken clouds
342,Manyana,BW,-23.4,21.7167,71.71,61,91,9.24,overcast clouds
343,Dhidhdhoo,MV,6.8833,73.1,81.34,75,85,3.71,overcast clouds
344,Shemursha,RU,54.8866,47.5189,16.77,77,48,6.62,scattered clouds
345,Maniitsoq,GL,65.4167,-52.9,20.1,64,6,6.06,clear sky
346,Itoman,JP,26.1247,127.6694,68.02,78,75,23.02,broken clouds
