City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Chuy,UY,2021-12-12 18:49:51,-33.6971,-53.4616,80.24,52,0,14.54
143,Goure,NE,2021-12-12 18:49:51,13.9835,10.2704,77.02,14,97,9.78
144,Vila Velha,BR,2021-12-12 18:49:51,-20.3297,-40.2925,85.95,80,40,15.99
145,Nakonde,ZM,2021-12-12 18:49:52,-9.3421,32.745,65.66,67,99,2.42
146,Faya,SA,2021-12-12 18:49:52,18.3851,42.4509,55.51,40,0,5.73
147,Koutsouras,GR,2021-12-12 18:49:52,35.0339,25.9469,62.11,68,69,11.97
148,Svetlogorsk,BY,2021-12-12 18:49:53,52.6333,29.7333,37.72,94,100,6.67
149,Hay River,CA,2021-12-12 18:49:53,60.8156,-115.7999,-0.42,78,75,12.66
150,Ilulissat,GL,2021-12-12 18:49:53,69.2167,-51.1,17.62,73,75,1.14
151,Flin Flon,CA,2021-12-12 18:49:53,54.7682,-101.865,10.24,85,75,2.3
152,Vodnyy,RU,2021-12-12 18:49:54,63.5046,53.4095,11.66,89,100,6.42
153,Bengkulu,ID,2021-12-12 18:46:18,-3.8004,102.2655,75.47,90,99,3.87
154,Costa Rica,BR,2021-12-12 18:49:54,-23.4167,-54.65,71.67,93,100,8.12
155,Middle Island,US,2021-12-12 18:49:54,40.8843,-72.9373,49.08,37,1,5.01
156,Salalah,OM,2021-12-12 18:49:55,17.0151,54.0924,77.09,33,0,8.05
157,Chumikan,RU,2021-12-12 18:49:55,54.7183,135.315,7.77,91,100,8.59
158,Isla Vista,US,2021-12-12 18:49:55,34.4133,-119.861,64.78,61,1,5.75
159,Guerrero Negro,MX,2021-12-12 18:46:15,27.9769,-114.0611,67.5,43,39,6.82
160,Porto Novo,BJ,2021-12-12 18:49:56,6.4965,2.6036,85.82,77,33,8.39
161,Tiksi,RU,2021-12-12 18:49:56,71.6872,128.8694,-17.77,100,100,1.86
162,Bom Jesus,BR,2021-12-12 18:45:01,-9.0744,-44.3586,83.28,74,100,2.21
163,Pacifica,US,2021-12-12 18:47:37,37.6138,-122.4869,55.92,83,90,5.01
164,College,US,2021-12-12 18:49:57,64.8569,-147.8028,-9.8,69,90,0.0
165,Iskele,TR,2021-12-12 18:49:57,39.484,26.9278,59.02,93,75,5.75
166,Kalevala,RU,2021-12-12 18:49:57,65.2,31.1667,25.83,98,100,3.56
167,Shatsk,RU,2021-12-12 18:49:57,54.0258,41.7119,21.63,82,21,9.64
168,Pevek,RU,2021-12-12 18:49:58,69.7008,170.3133,-33.63,96,20,0.63
169,Esperance,AU,2021-12-12 18:49:58,-33.8667,121.9,48.04,62,84,5.21
170,Viedma,AR,2021-12-12 18:49:58,-40.8135,-62.9967,78.19,15,41,23.73
171,Rio Grande,BR,2021-12-12 18:49:59,-32.035,-52.0986,87.91,63,0,15.82
172,East London,ZA,2021-12-12 18:49:59,-33.0153,27.9116,72.54,94,75,5.75
